county,state,incidence_level,year,cases,data_available
Autauga County,Alabama,Low Incidence,2001,0,True
Autauga County,Alabama,Low Incidence,2002,0,True
Autauga County,Alabama,Low Incidence,2003,0,True
Autauga County,Alabama,Low Incidence,2004,0,True
Autauga County,Alabama,Low Incidence,2005,0,True
Autauga County,Alabama,Low Incidence,2006,0,True
Autauga County,Alabama,Low Incidence,2007,0,True
Autauga County,Alabama,Low Incidence,2008,0,True
Autauga County,Alabama,Low Incidence,2009,0,True
Autauga County,Alabama,Low Incidence,2010,0,True
Autauga County,Alabama,Low Incidence,2011,0,True
Autauga County,Alabama,Low Incidence,2012,0,True
Autauga County,Alabama,Low Incidence,2013,0,True
Autauga County,Alabama,Low Incidence,2014,0,True
Autauga County,Alabama,Low Incidence,2015,0,True
Autauga County,Alabama,Low Incidence,2016,2,True
Autauga County,Alabama,Low Incidence,2017,0,True
Autauga County,Alabama,Low Incidence,2018,0,True
Autauga County,Alabama,Low Incidence,2019,1,True
Autauga County,Alabama,Low Incidence,2020,0,True
Autauga County,Alabama,Low Incidence,2021,0,True
Autauga County,Alabama,Low Incidence,2022,0,True
Autauga County,Alabama,Low Incidence,2023,0,True
Baldwin County,Alabama,Low Incidence,2001,0,True
Baldwin County,Alabama,Low Incidence,2002,1,True
Baldwin County,Alabama,Low Incidence,2003,0,True
Baldwin County,Alabama,Low Incidence,2004,0,True
Baldwin County,Alabama,Low Incidence,2005,0,True
Baldwin County,Alabama,Low Incidence,2006,0,True
Baldwin County,Alabama,Low Incidence,2007,0,True
Baldwin County,Alabama,Low Incidence,2008,0,True
Baldwin County,Alabama,Low Incidence,2009,1,True
Baldwin County,Alabama,Low Incidence,2010,0,True
Baldwin County,Alabama,Low Incidence,2011,1,True
Baldwin County,Alabama,Low Incidence,2012,1,True
Baldwin County,Alabama,Low Incidence,2013,0,True
Baldwin County,Alabama,Low Incidence,2014,3,True
Baldwin County,Alabama,Low Incidence,2015,1,True
Baldwin County,Alabama,Low Incidence,2016,2,True
Baldwin County,Alabama,Low Incidence,2017,2,True
Baldwin County,Alabama,Low Incidence,2018,0,True
Baldwin County,Alabama,Low Incidence,2019,0,True
Baldwin County,Alabama,Low Incidence,2020,0,True
Baldwin County,Alabama,Low Incidence,2021,3,True
Baldwin County,Alabama,Low Incidence,2022,2,True
Baldwin County,Alabama,Low Incidence,2023,5,True
Barbour County,Alabama,Low Incidence,2001,0,True
Barbour County,Alabama,Low Incidence,2002,0,True
Barbour County,Alabama,Low Incidence,2003,0,True
Barbour County,Alabama,Low Incidence,2004,0,True
Barbour County,Alabama,Low Incidence,2005,0,True
Barbour County,Alabama,Low Incidence,2006,0,True
Barbour County,Alabama,Low Incidence,2007,0,True
Barbour County,Alabama,Low Incidence,2008,0,True
Barbour County,Alabama,Low Incidence,2009,0,True
Barbour County,Alabama,Low Incidence,2010,0,True
Barbour County,Alabama,Low Incidence,2011,1,True
Barbour County,Alabama,Low Incidence,2012,0,True
Barbour County,Alabama,Low Incidence,2013,0,True
Barbour County,Alabama,Low Incidence,2014,0,True
Barbour County,Alabama,Low Incidence,2015,0,True
Barbour County,Alabama,Low Incidence,2016,0,True
Barbour County,Alabama,Low Incidence,2017,0,True
Barbour County,Alabama,Low Incidence,2018,0,True
Barbour County,Alabama,Low Incidence,2019,1,True
Barbour County,Alabama,Low Incidence,2020,0,True
Barbour County,Alabama,Low Incidence,2021,0,True
Barbour County,Alabama,Low Incidence,2022,0,True
Barbour County,Alabama,Low Incidence,2023,1,True
Bibb County,Alabama,Low Incidence,2001,0,True
Bibb County,Alabama,Low Incidence,2002,0,True
Bibb County,Alabama,Low Incidence,2003,0,True
Bibb County,Alabama,Low Incidence,2004,0,True
Bibb County,Alabama,Low Incidence,2005,0,True
Bibb County,Alabama,Low Incidence,2006,0,True
Bibb County,Alabama,Low Incidence,2007,0,True
Bibb County,Alabama,Low Incidence,2008,0,True
Bibb County,Alabama,Low Incidence,2009,0,True
Bibb County,Alabama,Low Incidence,2010,0,True
Bibb County,Alabama,Low Incidence,2011,0,True
Bibb County,Alabama,Low Incidence,2012,0,True
Bibb County,Alabama,Low Incidence,2013,0,True
Bibb County,Alabama,Low Incidence,2014,1,True
Bibb County,Alabama,Low Incidence,2015,0,True
Bibb County,Alabama,Low Incidence,2016,0,True
Bibb County,Alabama,Low Incidence,2017,0,True
Bibb County,Alabama,Low Incidence,2018,1,True
Bibb County,Alabama,Low Incidence,2019,0,True
Bibb County,Alabama,Low Incidence,2020,0,True
Bibb County,Alabama,Low Incidence,2021,1,True
Bibb County,Alabama,Low Incidence,2022,0,True
Bibb County,Alabama,Low Incidence,2023,1,True
Blount County,Alabama,Low Incidence,2001,0,True
Blount County,Alabama,Low Incidence,2002,0,True
Blount County,Alabama,Low Incidence,2003,0,True
Blount County,Alabama,Low Incidence,2004,0,True
Blount County,Alabama,Low Incidence,2005,0,True
Blount County,Alabama,Low Incidence,2006,0,True
Blount County,Alabama,Low Incidence,2007,0,True
Blount County,Alabama,Low Incidence,2008,0,True
Blount County,Alabama,Low Incidence,2009,0,True
Blount County,Alabama,Low Incidence,2010,0,True
Blount County,Alabama,Low Incidence,2011,1,True
Blount County,Alabama,Low Incidence,2012,0,True
Blount County,Alabama,Low Incidence,2013,0,True
Blount County,Alabama,Low Incidence,2014,0,True
Blount County,Alabama,Low Incidence,2015,0,True
Blount County,Alabama,Low Incidence,2016,0,True
Blount County,Alabama,Low Incidence,2017,0,True
Blount County,Alabama,Low Incidence,2018,2,True
Blount County,Alabama,Low Incidence,2019,0,True
Blount County,Alabama,Low Incidence,2020,1,True
Blount County,Alabama,Low Incidence,2021,0,True
Blount County,Alabama,Low Incidence,2022,2,True
Blount County,Alabama,Low Incidence,2023,2,True
Bullock County,Alabama,Low Incidence,2001,0,True
Bullock County,Alabama,Low Incidence,2002,0,True
Bullock County,Alabama,Low Incidence,2003,0,True
Bullock County,Alabama,Low Incidence,2004,0,True
Bullock County,Alabama,Low Incidence,2005,0,True
Bullock County,Alabama,Low Incidence,2006,0,True
Bullock County,Alabama,Low Incidence,2007,0,True
Bullock County,Alabama,Low Incidence,2008,0,True
Bullock County,Alabama,Low Incidence,2009,0,True
Bullock County,Alabama,Low Incidence,2010,0,True
Bullock County,Alabama,Low Incidence,2011,0,True
Bullock County,Alabama,Low Incidence,2012,0,True
Bullock County,Alabama,Low Incidence,2013,0,True
Bullock County,Alabama,Low Incidence,2014,0,True
Bullock County,Alabama,Low Incidence,2015,0,True
Bullock County,Alabama,Low Incidence,2016,0,True
Bullock County,Alabama,Low Incidence,2017,1,True
Bullock County,Alabama,Low Incidence,2018,0,True
Bullock County,Alabama,Low Incidence,2019,0,True
Bullock County,Alabama,Low Incidence,2020,0,True
Bullock County,Alabama,Low Incidence,2021,0,True
Bullock County,Alabama,Low Incidence,2022,0,True
Bullock County,Alabama,Low Incidence,2023,0,True
Butler County,Alabama,Low Incidence,2001,0,True
Butler County,Alabama,Low Incidence,2002,0,True
Butler County,Alabama,Low Incidence,2003,0,True
Butler County,Alabama,Low Incidence,2004,0,True
Butler County,Alabama,Low Incidence,2005,0,True
Butler County,Alabama,Low Incidence,2006,0,True
Butler County,Alabama,Low Incidence,2007,0,True
Butler County,Alabama,Low Incidence,2008,0,True
Butler County,Alabama,Low Incidence,2009,0,True
Butler County,Alabama,Low Incidence,2010,0,True
Butler County,Alabama,Low Incidence,2011,1,True
Butler County,Alabama,Low Incidence,2012,0,True
Butler County,Alabama,Low Incidence,2013,0,True
Butler County,Alabama,Low Incidence,2014,0,True
Butler County,Alabama,Low Incidence,2015,0,True
Butler County,Alabama,Low Incidence,2016,0,True
Butler County,Alabama,Low Incidence,2017,0,True
Butler County,Alabama,Low Incidence,2018,0,True
Butler County,Alabama,Low Incidence,2019,0,True
Butler County,Alabama,Low Incidence,2020,0,True
Butler County,Alabama,Low Incidence,2021,0,True
Butler County,Alabama,Low Incidence,2022,0,True
Butler County,Alabama,Low Incidence,2023,0,True
Calhoun County,Alabama,Low Incidence,2001,0,True
Calhoun County,Alabama,Low Incidence,2002,0,True
Calhoun County,Alabama,Low Incidence,2003,0,True
Calhoun County,Alabama,Low Incidence,2004,0,True
Calhoun County,Alabama,Low Incidence,2005,0,True
Calhoun County,Alabama,Low Incidence,2006,0,True
Calhoun County,Alabama,Low Incidence,2007,1,True
Calhoun County,Alabama,Low Incidence,2008,0,True
Calhoun County,Alabama,Low Incidence,2009,0,True
Calhoun County,Alabama,Low Incidence,2010,0,True
Calhoun County,Alabama,Low Incidence,2011,2,True
Calhoun County,Alabama,Low Incidence,2012,1,True
Calhoun County,Alabama,Low Incidence,2013,3,True
Calhoun County,Alabama,Low Incidence,2014,2,True
Calhoun County,Alabama,Low Incidence,2015,0,True
Calhoun County,Alabama,Low Incidence,2016,1,True
Calhoun County,Alabama,Low Incidence,2017,0,True
Calhoun County,Alabama,Low Incidence,2018,0,True
Calhoun County,Alabama,Low Incidence,2019,3,True
Calhoun County,Alabama,Low Incidence,2020,0,True
Calhoun County,Alabama,Low Incidence,2021,2,True
Calhoun County,Alabama,Low Incidence,2022,1,True
Calhoun County,Alabama,Low Incidence,2023,1,True
Chambers County,Alabama,Low Incidence,2001,0,True
Chambers County,Alabama,Low Incidence,2002,0,True
Chambers County,Alabama,Low Incidence,2003,0,True
Chambers County,Alabama,Low Incidence,2004,0,True
Chambers County,Alabama,Low Incidence,2005,0,True
Chambers County,Alabama,Low Incidence,2006,0,True
Chambers County,Alabama,Low Incidence,2007,2,True
Chambers County,Alabama,Low Incidence,2008,0,True
Chambers County,Alabama,Low Incidence,2009,0,True
Chambers County,Alabama,Low Incidence,2010,0,True
Chambers County,Alabama,Low Incidence,2011,0,True
Chambers County,Alabama,Low Incidence,2012,0,True
Chambers County,Alabama,Low Incidence,2013,0,True
Chambers County,Alabama,Low Incidence,2014,0,True
Chambers County,Alabama,Low Incidence,2015,1,True
Chambers County,Alabama,Low Incidence,2016,0,True
Chambers County,Alabama,Low Incidence,2017,0,True
Chambers County,Alabama,Low Incidence,2018,1,True
Chambers County,Alabama,Low Incidence,2019,2,True
Chambers County,Alabama,Low Incidence,2020,1,True
Chambers County,Alabama,Low Incidence,2021,1,True
Chambers County,Alabama,Low Incidence,2022,1,True
Chambers County,Alabama,Low Incidence,2023,0,True
Cherokee County,Alabama,Low Incidence,2001,0,True
Cherokee County,Alabama,Low Incidence,2002,0,True
Cherokee County,Alabama,Low Incidence,2003,0,True
Cherokee County,Alabama,Low Incidence,2004,0,True
Cherokee County,Alabama,Low Incidence,2005,0,True
Cherokee County,Alabama,Low Incidence,2006,0,True
Cherokee County,Alabama,Low Incidence,2007,0,True
Cherokee County,Alabama,Low Incidence,2008,0,True
Cherokee County,Alabama,Low Incidence,2009,0,True
Cherokee County,Alabama,Low Incidence,2010,0,True
Cherokee County,Alabama,Low Incidence,2011,0,True
Cherokee County,Alabama,Low Incidence,2012,0,True
Cherokee County,Alabama,Low Incidence,2013,0,True
Cherokee County,Alabama,Low Incidence,2014,0,True
Cherokee County,Alabama,Low Incidence,2015,0,True
Cherokee County,Alabama,Low Incidence,2016,0,True
Cherokee County,Alabama,Low Incidence,2017,0,True
Cherokee County,Alabama,Low Incidence,2018,0,True
Cherokee County,Alabama,Low Incidence,2019,0,True
Cherokee County,Alabama,Low Incidence,2020,0,True
Cherokee County,Alabama,Low Incidence,2021,0,True
Cherokee County,Alabama,Low Incidence,2022,0,True
Cherokee County,Alabama,Low Incidence,2023,0,True
Chilton County,Alabama,Low Incidence,2001,0,True
Chilton County,Alabama,Low Incidence,2002,0,True
Chilton County,Alabama,Low Incidence,2003,1,True
Chilton County,Alabama,Low Incidence,2004,0,True
Chilton County,Alabama,Low Incidence,2005,0,True
Chilton County,Alabama,Low Incidence,2006,0,True
Chilton County,Alabama,Low Incidence,2007,0,True
Chilton County,Alabama,Low Incidence,2008,0,True
Chilton County,Alabama,Low Incidence,2009,0,True
Chilton County,Alabama,Low Incidence,2010,0,True
Chilton County,Alabama,Low Incidence,2011,0,True
Chilton County,Alabama,Low Incidence,2012,0,True
Chilton County,Alabama,Low Incidence,2013,0,True
Chilton County,Alabama,Low Incidence,2014,0,True
Chilton County,Alabama,Low Incidence,2015,0,True
Chilton County,Alabama,Low Incidence,2016,0,True
Chilton County,Alabama,Low Incidence,2017,1,True
Chilton County,Alabama,Low Incidence,2018,0,True
Chilton County,Alabama,Low Incidence,2019,1,True
Chilton County,Alabama,Low Incidence,2020,1,True
Chilton County,Alabama,Low Incidence,2021,2,True
Chilton County,Alabama,Low Incidence,2022,0,True
Chilton County,Alabama,Low Incidence,2023,1,True
Choctaw County,Alabama,Low Incidence,2001,0,True
Choctaw County,Alabama,Low Incidence,2002,0,True
Choctaw County,Alabama,Low Incidence,2003,0,True
Choctaw County,Alabama,Low Incidence,2004,0,True
Choctaw County,Alabama,Low Incidence,2005,0,True
Choctaw County,Alabama,Low Incidence,2006,0,True
Choctaw County,Alabama,Low Incidence,2007,0,True
Choctaw County,Alabama,Low Incidence,2008,0,True
Choctaw County,Alabama,Low Incidence,2009,0,True
Choctaw County,Alabama,Low Incidence,2010,0,True
Choctaw County,Alabama,Low Incidence,2011,0,True
Choctaw County,Alabama,Low Incidence,2012,0,True
Choctaw County,Alabama,Low Incidence,2013,0,True
Choctaw County,Alabama,Low Incidence,2014,0,True
Choctaw County,Alabama,Low Incidence,2015,0,True
Choctaw County,Alabama,Low Incidence,2016,0,True
Choctaw County,Alabama,Low Incidence,2017,0,True
Choctaw County,Alabama,Low Incidence,2018,1,True
Choctaw County,Alabama,Low Incidence,2019,0,True
Choctaw County,Alabama,Low Incidence,2020,0,True
Choctaw County,Alabama,Low Incidence,2021,0,True
Choctaw County,Alabama,Low Incidence,2022,0,True
Choctaw County,Alabama,Low Incidence,2023,0,True
Clarke County,Alabama,Low Incidence,2001,0,True
Clarke County,Alabama,Low Incidence,2002,0,True
Clarke County,Alabama,Low Incidence,2003,0,True
Clarke County,Alabama,Low Incidence,2004,0,True
Clarke County,Alabama,Low Incidence,2005,0,True
Clarke County,Alabama,Low Incidence,2006,0,True
