Year,age_group,Sex,percent_of_total_cases
2010,0-4,Female,0.0191
2010,0-4,Male,0.0209
2010,5-9,Female,0.0358
2010,5-9,Male,0.0542
2010,10-14,Female,0.0303
2010,10-14,Male,0.0537
2010,15-19,Female,0.0244
2010,15-19,Male,0.0374
2010,20-24,Female,0.02
2010,20-24,Male,0.0257
2010,25-29,Female,0.0176
2010,25-29,Male,0.0214
2010,30-34,Female,0.0209
2010,30-34,Male,0.0234
2010,35-39,Female,0.0224
2010,35-39,Male,0.0258
2010,40-44,Female,0.0283
2010,40-44,Male,0.0345
2010,45-49,Female,0.0366
2010,45-49,Male,0.0442
2010,50-54,Female,0.043
2010,50-54,Male,0.0481
2010,55-59,Female,0.0385
2010,55-59,Male,0.0442
2010,60-64,Female,0.0355
2010,60-64,Male,0.0389
2010,65-69,Female,0.0279
2010,65-69,Male,0.0306
2010,70-74,Female,0.0199
2010,70-74,Male,0.02
2010,75-79,Female,0.0133
2010,75-79,Male,0.015
2010,80-84,Female,0.0091
2010,80-84,Male,0.0093
2010,85+,Female,0.0054
2010,85+,Male,0.0047
2011,0-4,Female,0.0184
2011,0-4,Male,0.0203
2011,5-9,Female,0.0357
2011,5-9,Male,0.0527
2011,10-14,Female,0.0291
2011,10-14,Male,0.0525
2011,15-19,Female,0.0234
2011,15-19,Male,0.0359
2011,20-24,Female,0.0174
2011,20-24,Male,0.0271
2011,25-29,Female,0.0172
2011,25-29,Male,0.0238
2011,30-34,Female,0.0173
2011,30-34,Male,0.0245
2011,35-39,Female,0.0195
2011,35-39,Male,0.0275
2011,40-44,Female,0.0255
2011,40-44,Male,0.0327
2011,45-49,Female,0.0312
2011,45-49,Male,0.0415
2011,50-54,Female,0.0396
2011,50-54,Male,0.0486
2011,55-59,Female,0.0411
2011,55-59,Male,0.0483
2011,60-64,Female,0.0367
2011,60-64,Male,0.0412
2011,65-69,Female,0.03
2011,65-69,Male,0.0308
2011,70-74,Female,0.0221
2011,70-74,Male,0.0245
2011,75-79,Female,0.0149
2011,75-79,Male,0.0162
2011,80-84,Female,0.0106
2011,80-84,Male,0.0112
2011,85+,Female,0.0059
2011,85+,Male,0.0052
2012,0-4,Female,0.0163
2012,0-4,Male,0.0192
2012,5-9,Female,0.0372
2012,5-9,Male,0.0499
2012,10-14,Female,0.0298
2012,10-14,Male,0.0519
2012,15-19,Female,0.0283
2012,15-19,Male,0.0394
2012,20-24,Female,0.0232
2012,20-24,Male,0.0282
2012,25-29,Female,0.0197
2012,25-29,Male,0.0208
2012,30-34,Female,0.0228
2012,30-34,Male,0.0241
2012,35-39,Female,0.022
2012,35-39,Male,0.0231
2012,40-44,Female,0.0256
2012,40-44,Male,0.0311
2012,45-49,Female,0.0335
2012,45-49,Male,0.0373
2012,50-54,Female,0.0379
2012,50-54,Male,0.0484
2012,55-59,Female,0.0387
2012,55-59,Male,0.0457
2012,60-64,Female,0.0337
2012,60-64,Male,0.0421
2012,65-69,Female,0.0285
2012,65-69,Male,0.0336
2012,70-74,Female,0.0211
2012,70-74,Male,0.0246
2012,75-79,Female,0.0143
2012,75-79,Male,0.0152
2012,80-84,Female,0.0099
2012,80-84,Male,0.0102
2012,85+,Female,0.0059
2012,85+,Male,0.0067
2013,0-4,Female,0.0188
2013,0-4,Male,0.0219
2013,5-9,Female,0.0363
2013,5-9,Male,0.0569
2013,10-14,Female,0.026
2013,10-14,Male,0.0513
2013,15-19,Female,0.021
2013,15-19,Male,0.0398
2013,20-24,Female,0.0189
2013,20-24,Male,0.0261
2013,25-29,Female,0.0167
2013,25-29,Male,0.0243
2013,30-34,Female,0.0174
2013,30-34,Male,0.0257
2013,35-39,Female,0.0184
2013,35-39,Male,0.0272
2013,40-44,Female,0.023
2013,40-44,Male,0.0302
2013,45-49,Female,0.0273
2013,45-49,Male,0.0385
2013,50-54,Female,0.0385
2013,50-54,Male,0.0489
2013,55-59,Female,0.0416
2013,55-59,Male,0.0477
2013,60-64,Female,0.0363
2013,60-64,Male,0.0429
2013,65-69,Female,0.0311
2013,65-69,Male,0.0366
2013,70-74,Female,0.0252
2013,70-74,Male,0.0256
2013,75-79,Female,0.0145
2013,75-79,Male,0.0155
2013,80-84,Female,0.0095
2013,80-84,Male,0.0094
2013,85+,Female,0.0053
2013,85+,Male,0.0057
2014,0-4,Female,0.0188
2014,0-4,Male,0.0212
2014,5-9,Female,0.0385
2014,5-9,Male,0.057
2014,10-14,Female,0.0259
2014,10-14,Male,0.0523
2014,15-19,Female,0.0199
2014,15-19,Male,0.037
2014,20-24,Female,0.0167
2014,20-24,Male,0.0285
2014,25-29,Female,0.0154
2014,25-29,Male,0.0237
2014,30-34,Female,0.0167
2014,30-34,Male,0.024
2014,35-39,Female,0.0178
2014,35-39,Male,0.0267
2014,40-44,Female,0.0206
2014,40-44,Male,0.0306
2014,45-49,Female,0.0271
2014,45-49,Male,0.0365
2014,50-54,Female,0.035
2014,50-54,Male,0.046
2014,55-59,Female,0.0401
2014,55-59,Male,0.049
2014,60-64,Female,0.0351
2014,60-64,Male,0.0463
2014,65-69,Female,0.0328
2014,65-69,Male,0.0395
2014,70-74,Female,0.0253
2014,70-74,Male,0.0273
2014,75-79,Female,0.0158
2014,75-79,Male,0.0173
2014,80-84,Female,0.0104
2014,80-84,Male,0.0105
2014,85+,Female,0.0074
2014,85+,Male,0.0073
2015,0-4,Female,0.0184
2015,0-4,Male,0.0216
2015,5-9,Female,0.0361
2015,5-9,Male,0.0559
2015,10-14,Female,0.0267
2015,10-14,Male,0.0494
2015,15-19,Female,0.0182
